book_id,title,author,genre,published_year,pages,description,publisher,language,average_rating,ratings_count,isbn13,isbn10,thumbnail_url,downloads,mood,reading_condition,keywords
BOOK_00001,The Adventure,J.K. Rowling,Thriller,1998,505,An inspiring thriller book perfect for study_time. This inspiring story explores themes of mystery.,HarperCollins,English,4.0,75437,9787449148452603,7780989118,https://example.com/covers/book_1.jpg,950136,inspiring,study_time,"inspiring,study_time,thriller"
BOOK_00002,Beyond Quest,Agatha Christie,Cooking,2008,299,An romantic cooking book perfect for morning_read. This romantic story explores themes of discovery.,Macmillan,English,3.2,79421,9784477757719527,4058580292,https://example.com/covers/book_2.jpg,758397,romantic,morning_read,"romantic,morning_read,cooking"
BOOK_00003,In Journey,J.K. Rowling,Adventure,2010,477,An dramatic adventure book perfect for travel. This dramatic story explores themes of love.,Macmillan,English,4.8,86338,9787654466391882,6118026840,https://example.com/covers/book_3.jpg,647634,dramatic,travel,"dramatic,travel,adventure"
BOOK_00004,Beyond Journey,Ernest Hemingway,Drama,1979,508,An thoughtful drama book perfect for morning_read. This thoughtful story explores themes of adventure.,Hachette,English,4.8,22602,9782812312161369,4834641587,https://example.com/covers/book_4.jpg,953210,thoughtful,morning_read,"thoughtful,morning_read,drama"
BOOK_00005,The Quest,Jane Austen,Philosophy,1980,377,An educational philosophy book perfect for study_time. This educational story explores themes of growth.,HarperCollins,English,4.3,67,9782283529360754,4157003870,https://example.com/covers/book_5.jpg,184130,educational,study_time,"educational,study_time,philosophy"
BOOK_00006,Beyond Adventure,Virginia Woolf,Philosophy,2025,487,An humorous philosophy book perfect for bedtime. This humorous story explores themes of adventure.,Scholastic,English,3.8,16248,9781765534706521,9892649038,https://example.com/covers/book_6.jpg,227305,humorous,bedtime,"humorous,bedtime,philosophy"
BOOK_00007,In Adventure,George R.R. Martin,Adventure,1977,319,An romantic adventure book perfect for beach_read. This romantic story explores themes of growth.,Oxford University Press,English,3.9,78787,9783959669579945,7095765757,https://example.com/covers/book_7.jpg,118462,romantic,beach_read,"romantic,beach_read,adventure"
BOOK_00008,The Journey,Agatha Christie,History,1970,418,An inspiring history book perfect for morning_read. This inspiring story explores themes of mystery.,HarperCollins,English,4.2,2568,9788263824471550,1618966912,https://example.com/covers/book_8.jpg,429630,inspiring,morning_read,"inspiring,morning_read,history"
BOOK_00009,The Story,Zadie Smith,Adventure,2004,189,An inspiring adventure book perfect for sunny_day. This inspiring story explores themes of mystery.,HarperCollins,English,3.2,59124,9789885202589293,6348085597,https://example.com/covers/book_9.jpg,468473,inspiring,sunny_day,"inspiring,sunny_day,adventure"
BOOK_00010,The Journey,J.K. Rowling,Comedy,1978,172,An thoughtful comedy book perfect for rainy_day. This thoughtful story explores themes of adventure.,Scholastic,English,3.8,382,9789330451121474,6256309837,https://example.com/covers/book_10.jpg,46087,thoughtful,rainy_day,"thoughtful,rainy_day,comedy"
BOOK_00011,In Quest,Toni Morrison,Adventure,1964,279,An romantic adventure book perfect for bedtime. This romantic story explores themes of love.,Simon & Schuster,English,3.2,48103,9788413685797899,8922421567,https://example.com/covers/book_11.jpg,44938,romantic,bedtime,"romantic,bedtime,adventure"
BOOK_00012,The Adventure,Margaret Atwood,Art,2019,126,An dramatic art book perfect for rainy_day. This dramatic story explores themes of mystery.,Hachette,English,4.6,90341,9781651679415269,6501818328,https://example.com/covers/book_12.jpg,463903,dramatic,rainy_day,"dramatic,rainy_day,art"
BOOK_00013,Beyond Journey,Stephen King,Cooking,2020,381,An educational cooking book perfect for travel. This educational story explores themes of love.,Hachette,English,3.7,22990,9783181072419675,7645146899,https://example.com/covers/book_13.jpg,232280,educational,travel,"educational,travel,cooking"
BOOK_00014,In Adventure,Toni Morrison,Adventure,1992,544,An humorous adventure book perfect for beach_read. This humorous story explores themes of mystery.,Penguin Random House,English,4.6,33665,9788937743980161,5079137539,https://example.com/covers/book_14.jpg,82005,humorous,beach_read,"humorous,beach_read,adventure"
BOOK_00015,Beyond Journey,Zadie Smith,Comedy,1989,440,An dramatic comedy book perfect for winter_read. This dramatic story explores themes of love.,Hachette,English,3.7,21579,9785716035055883,3181865407,https://example.com/covers/book_15.jpg,813693,dramatic,winter_read,"dramatic,winter_read,comedy"
BOOK_00016,How to Transform Growth,Agatha Christie,Self-Help,1994,755,An melancholic self-help book perfect for cozy_night. This melancholic story explores themes of mystery.,Macmillan,English,4.8,45053,9782276330974236,2838762713,https://example.com/covers/book_16.jpg,992315,melancholic,cozy_night,"melancholic,cozy_night,self-help"
BOOK_00017,The Quest,Neil Gaiman,Drama,2010,675,An exciting drama book perfect for travel. This exciting story explores themes of discovery.,Hachette,English,4.2,48325,9788204560128867,9018655196,https://example.com/covers/book_17.jpg,2549,exciting,travel,"exciting,travel,drama"
BOOK_00018,Beyond Adventure,Toni Morrison,Philosophy,1988,611,An educational philosophy book perfect for study_time. This educational story explores themes of love.,Oxford University Press,English,4.3,28031,9784505234927822,2834393085,https://example.com/covers/book_18.jpg,967289,educational,study_time,"educational,study_time,philosophy"
BOOK_00019,In Story,Stephen King,Business,2013,760,An dramatic business book perfect for travel. This dramatic story explores themes of mystery.,Scholastic,English,4.6,86785,9782591844278859,5260271491,https://example.com/covers/book_19.jpg,825088,dramatic,travel,"dramatic,travel,business"
BOOK_00020,A Story,J.R.R. Tolkien,Comedy,1996,592,An relaxing comedy book perfect for winter_read. This relaxing story explores themes of adventure.,HarperCollins,English,3.4,14420,9784205370682334,9658709411,https://example.com/covers/book_20.jpg,818064,relaxing,winter_read,"relaxing,winter_read,comedy"
BOOK_00021,Beyond Story,Mark Twain,Non-Fiction,1966,659,An dramatic non-fiction book perfect for study_time. This dramatic story explores themes of growth.,Cambridge University Press,English,4.4,26524,9786899684353304,2674282981,https://example.com/covers/book_21.jpg,607119,dramatic,study_time,"dramatic,study_time,non-fiction"
BOOK_00022,In Story,Chimamanda Ngozi Adichie,Poetry,1969,231,An humorous poetry book perfect for travel. This humorous story explores themes of mystery.,Simon & Schuster,English,3.3,60180,9788439455403985,5404131446,https://example.com/covers/book_22.jpg,364999,humorous,travel,"humorous,travel,poetry"
BOOK_00023,Beyond Story,Jane Austen,Art,2015,208,An thoughtful art book perfect for sunny_day. This thoughtful story explores themes of discovery.,Hachette,English,3.9,10396,9781252208649367,4266565645,https://example.com/covers/book_23.jpg,447768,thoughtful,sunny_day,"thoughtful,sunny_day,art"
