domain,id,title,mood_score,weather_score,time_score,activity_score,normalized_rating,popularity_score,description_length,processed_description,genre,year_normalized
movies,MOV_00001,Dark Whisper,3,1,0,0,0.6769231,1.0,19,calm horror film thats perfect rainy morning directed bong joonho movie explores themes love,Horror,-1.382353
movies,MOV_00002,Beyond Story,0,4,2,0,0.8153846,0.06914,19,dark western film thats perfect stormy evening directed james cameron movie explores themes mystery,Western,-0.7352941
movies,MOV_00003,In Journey,18,3,4,0,0.123076916,1.0,19,intense animation film thats perfect cloudy latenight directed greta gerwig movie explores themes love,Animation,-0.1764706
movies,MOV_00004,The Quest,4,3,2,0,0.16923076,1.0,19,romantic crime film thats perfect cloudy evening directed peter jackson movie explores themes adventure,Crime,-1.1764706
movies,MOV_00005,The Dream,0,2,0,0,0.21538463,1.0,19,inspiring mystery film thats perfect snowy morning directed denis villeneuve movie explores themes redemption,Mystery,-1.2647059
movies,MOV_00006,Beyond Dream,3,1,4,0,0.49230766,1.0,19,calm musical film thats perfect rainy latenight directed steven spielberg movie explores themes love,Musical,0.11764706
movies,MOV_00007,The Journey,8,4,2,0,0.7692308,1.0,19,peaceful war film thats perfect stormy evening directed quentin tarantino movie explores themes adventure,War,-0.5294118
movies,MOV_00008,In Story,2,2,1,0,0.53846157,1.0,19,energetic war film thats perfect snowy afternoon directed taika waititi movie explores themes love,War,-1.0882353
movies,MOV_00009,Beyond Journey,0,1,1,0,0.6615385,1.0,19,funny musical film thats perfect rainy afternoon directed bong joonho movie explores themes redemption,Musical,-1.1764706
movies,MOV_00010,The Story,3,0,2,0,0.0153846005,1.0,19,calm biography film thats perfect sunny evening directed david fincher movie explores themes friendship,Biography,0.47058824
movies,MOV_00011,A Dream,8,3,1,0,0.53846157,1.0,19,peaceful mystery film thats perfect cloudy afternoon directed ryan coogler movie explores themes redemption,Mystery,-1.2058823
movies,MOV_00012,The Journey,0,5,2,0,0.79999995,1.0,19,inspiring biography film thats perfect foggy evening directed david fincher movie explores themes redemption,Biography,-1.2941177
movies,MOV_00013,The Journey,5,1,1,0,0.39999998,1.0,19,melancholic biography film thats perfect rainy afternoon directed peter jackson movie explores themes mystery,Biography,0.5882353
movies,MOV_00014,Beyond Story,3,2,1,0,0.9692308,1.0,19,calm western film thats perfect snowy afternoon directed bong joonho movie explores themes love,Western,1.0
movies,MOV_00015,The Journey,8,1,3,0,0.123076916,1.0,19,peaceful war film thats perfect rainy night directed david fincher movie explores themes friendship,War,-1.1764706
movies,MOV_00016,In Story,4,3,1,0,0.6769231,1.0,19,romantic scifi film thats perfect cloudy afternoon directed ava duvernay movie explores themes adventure,Sci-Fi,1.0
movies,MOV_00017,In Journey,3,2,2,0,0.15384616,1.0,19,calm war film thats perfect snowy evening directed bong joonho movie explores themes adventure,War,-0.5
movies,MOV_00018,Dark Shadow,11,1,2,0,0.20000003,1.0,19,dramatic horror film thats perfect rainy evening directed tim burton movie explores themes friendship,Horror,0.5882353
movies,MOV_00019,In Story,18,3,4,0,0.70769227,1.0,19,intense mystery film thats perfect cloudy latenight directed christopher nolan movie explores themes love,Mystery,-1.0
movies,MOV_00020,Soul Story,10,1,1,0,0.6615385,1.0,19,mysterious romance film thats perfect rainy afternoon directed bong joonho movie explores themes mystery,Romance,-1.3235294
movies,MOV_00021,A Dream,2,5,0,0,0.3846154,0.40705,19,energetic documentary film thats perfect foggy morning directed ryan coogler movie explores themes redemption,Documentary,1.0
movies,MOV_00022,The Dream,10,5,4,0,0.39999998,1.0,19,mysterious family film thats perfect foggy latenight directed bong joonho movie explores themes adventure,Family,-0.23529412
movies,MOV_00023,The Quest,11,1,2,0,0.04615384,1.0,19,dramatic animation film thats perfect rainy evening directed christopher nolan movie explores themes friendship,Animation,-0.29411766
movies,MOV_00024,Beyond Dream,0,5,2,0,0.5538461,1.0,19,inspiring crime film thats perfect foggy evening directed jordan peele movie explores themes mystery,Crime,0.4117647
movies,MOV_00025,In Quest,0,3,1,0,0.50769234,1.0,19,dark musical film thats perfect cloudy afternoon directed james cameron movie explores themes love,Musical,0.7941176
movies,MOV_00026,Heart Promise,11,0,3,0,0.4153846,1.0,19,dramatic romance film thats perfect sunny night directed peter jackson movie explores themes mystery,Romance,-1.382353
movies,MOV_00027,Beyond Journey,0,1,0,0,0.46153846,1.0,19,funny fantasy film thats perfect rainy morning directed ava duvernay movie explores themes friendship,Fantasy,-0.8235294
movies,MOV_00028,In Story,8,2,4,0,0.47692305,1.0,19,peaceful thriller film thats perfect snowy latenight directed tim burton movie explores themes mystery,Thriller,0.29411766
movies,MOV_00029,Heart Journey,5,3,3,0,0.33846152,1.0,19,melancholic romance film thats perfect cloudy night directed jordan peele movie explores themes love,Romance,-0.61764705
movies,MOV_00030,Beyond Quest,0,5,4,0,0.79999995,1.0,19,funny animation film thats perfect foggy latenight directed david fincher movie explores themes mystery,Animation,-0.3529412
movies,MOV_00031,The Quest,11,4,0,0,0.07692308,1.0,19,dramatic thriller film thats perfect stormy morning directed ridley scott movie explores themes mystery,Thriller,0.2647059
movies,MOV_00032,Beyond Dream,5,3,0,0,0.75384617,0.54715,19,melancholic family film thats perfect cloudy morning directed damien chazelle movie explores themes redemption,Family,-0.44117647
movies,MOV_00033,A Quest,18,2,2,0,0.16923076,1.0,19,intense history film thats perfect snowy evening directed quentin tarantino movie explores themes redemption,History,1.0
movies,MOV_00034,A Journey,18,2,4,0,0.79999995,1.0,19,intense drama film thats perfect snowy latenight directed steven spielberg movie explores themes adventure,Drama,0.7352941
movies,MOV_00035,In Quest,18,1,3,0,0.16923076,1.0,19,intense history film thats perfect rainy night directed tim burton movie explores themes friendship,History,-1.0882353
movies,MOV_00036,A Quest,11,4,3,0,0.33846152,1.0,19,dramatic drama film thats perfect stormy night directed denis villeneuve movie explores themes redemption,Drama,-0.44117647
movies,MOV_00037,A Journey,3,5,3,0,0.49230766,1.0,19,calm western film thats perfect foggy night directed david fincher movie explores themes mystery,Western,-1.4411764
movies,MOV_00038,In Quest,0,4,2,0,0.43076926,1.0,19,funny crime film thats perfect stormy evening directed bong joonho movie explores themes adventure,Crime,1.0
movies,MOV_00039,A Story,3,5,3,0,0.27692312,1.0,19,calm mystery film thats perfect foggy night directed taika waititi movie explores themes friendship,Mystery,-1.0294118
movies,MOV_00040,The Journey,0,2,1,0,0.6307692,1.0,19,funny western film thats perfect snowy afternoon directed ryan coogler movie explores themes love,Western,-1.0
movies,MOV_00041,Beyond Quest,5,4,0,0,0.15384616,1.0,19,melancholic history film thats perfect stormy morning directed wes anderson movie explores themes love,History,-1.0588236
movies,MOV_00042,In Quest,4,4,4,0,0.061538476,1.0,19,romantic family film thats perfect stormy latenight directed quentin tarantino movie explores themes redemption,Family,0.20588236
