track_id,title,artist,genre,release_year,album,lyrics,tempo,energy,danceability,valence,acousticness,instrumentalness,loudness,speechiness,liveness,popularity,key,mode,time_signature,duration,language,mood,activity,weather_mood,keywords
MUSIC_00001,Fire Pulse,Coldplay,Metal,1956,Fire Pulse - Album,"Through the journey of life, we find our way, in every moment, in every day",161,0.004,0.117,0.132,0.772,0.96,-15.3,0.431,0.247,86,7,0,6,348,French,energetic,gaming,stormy_night,"energetic,gaming,stormy_night,metal"
MUSIC_00002,Through Moment,Bad Bunny,K-Pop,1982,Through Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",92,0.346,0.083,0.081,0.196,0.214,-8.4,0.94,0.671,8,2,0,3,172,Japanese,angry,working,rainy_day,"angry,working,rainy_day,k-pop"
MUSIC_00003,The Night,The Weeknd,R&B,2000,The Night - Album,"Through the journey of life, we find our way, in every moment, in every day",158,0.404,0.12,0.747,0.158,0.487,-9.4,0.503,0.254,15,5,1,6,141,English,euphoric,meditation,stormy_night,"euphoric,meditation,stormy_night,r&b"
MUSIC_00004,The Moment,Billie Eilish,Latin,1995,The Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",124,0.303,0.569,0.357,0.101,0.016,-4.0,0.759,0.489,11,7,0,3,323,English,melancholic,relaxing,rainy_day,"melancholic,relaxing,rainy_day,latin"
MUSIC_00005,Through Night,Ed Sheeran,Gospel,1974,Through Night - Album,"Through the journey of life, we find our way, in every moment, in every day",87,0.51,0.922,0.915,0.22,0.542,-5.4,0.261,0.249,52,8,1,4,165,English,nostalgic,showering,snowy_day,"nostalgic,showering,snowy_day,gospel"
MUSIC_00006,In Dream,Imagine Dragons,Metal,1943,In Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",105,0.84,0.658,0.947,0.058,0.468,-17.4,0.78,0.905,43,2,1,6,219,Korean,calm,party,foggy_morning,"calm,party,foggy_morning,metal"
MUSIC_00007,Beyond Dream,Imagine Dragons,World,1992,Beyond Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",88,0.62,0.566,0.894,0.991,0.148,-4.6,0.564,0.891,90,8,1,5,350,Japanese,euphoric,working,sunny_day,"euphoric,working,sunny_day,world"
MUSIC_00008,Through Moment,Imagine Dragons,Metal,1944,Through Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",177,0.45,0.933,0.138,0.05,0.566,-14.4,0.401,0.788,52,0,0,5,269,Korean,dreamy,cooking,rainy_day,"dreamy,cooking,rainy_day,metal"
MUSIC_00009,Beyond Dream,Ariana Grande,K-Pop,1978,Beyond Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",143,0.902,0.041,0.949,0.106,0.51,-3.7,0.766,0.702,13,10,1,5,237,Japanese,playful,showering,sunny_day,"playful,showering,sunny_day,k-pop"
MUSIC_00010,Through Moment,Lana Del Rey,Alternative,1977,Through Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",173,0.479,0.671,0.366,0.396,0.999,-10.2,0.773,0.874,20,10,0,6,146,Korean,dreamy,cooking,stormy_night,"dreamy,cooking,stormy_night,alternative"
MUSIC_00011,The Dream,SZA,Reggae,2008,The Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",102,0.3,0.613,0.173,0.814,0.688,-0.5,0.61,0.643,33,3,0,7,171,Korean,nostalgic,study,rainy_day,"nostalgic,study,rainy_day,reggae"
MUSIC_00012,In Night,Taylor Swift,R&B,1979,In Night - Album,"Through the journey of life, we find our way, in every moment, in every day",157,0.477,0.748,0.154,0.99,0.559,-8.2,0.839,0.907,26,8,1,3,271,Korean,dreamy,showering,stormy_night,"dreamy,showering,stormy_night,r&b"
MUSIC_00013,The Dream,Dua Lipa,Classical,2024,The Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",154,0.098,0.084,0.11,0.72,0.459,-7.2,0.596,0.248,67,10,0,7,198,Spanish,calm,cleaning,sunny_day,"calm,cleaning,sunny_day,classical"
MUSIC_00014,Through Day,Drake,Punk,2014,Through Day - Album,"You're the light in my darkness, the love in my heart, forever we'll be together, never apart",133,0.27,0.855,0.521,0.311,0.375,-9.3,0.863,0.334,35,7,1,4,229,Spanish,romantic,working,foggy_morning,"romantic,working,foggy_morning,punk"
MUSIC_00015,Power Beat,Lana Del Rey,Latin,2022,Power Beat - Album,"Through the journey of life, we find our way, in every moment, in every day",134,0.935,0.021,0.868,0.01,0.705,-3.2,0.165,0.554,16,7,0,7,256,Spanish,energetic,cleaning,rainy_day,"energetic,cleaning,rainy_day,latin"
MUSIC_00016,The Day,Drake,Reggae,1998,The Day - Album,"Through the journey of life, we find our way, in every moment, in every day",139,0.436,0.282,0.324,0.081,0.549,-14.5,0.573,0.61,88,6,0,7,155,English,intense,workout,stormy_night,"intense,workout,stormy_night,reggae"
MUSIC_00017,The Moment,Imagine Dragons,Soul,1948,The Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",113,0.657,0.744,0.985,0.25,0.709,-16.5,0.88,0.884,57,9,1,4,354,Spanish,angry,walking,foggy_morning,"angry,walking,foggy_morning,soul"
MUSIC_00018,The Day,Dua Lipa,Pop,2008,The Day - Album,"Through the journey of life, we find our way, in every moment, in every day",123,0.106,0.345,0.071,0.396,0.984,-19.3,0.502,0.952,100,0,0,6,308,English,intense,working,foggy_morning,"intense,working,foggy_morning,pop"
MUSIC_00019,Through Dream,Bad Bunny,Hip-Hop,2010,Through Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",100,0.468,0.844,0.374,0.221,0.1,-8.8,0.793,0.169,7,10,1,3,162,French,nostalgic,showering,stormy_night,"nostalgic,showering,stormy_night,hip-hop"
MUSIC_00020,Beyond Dream,Ed Sheeran,Ambient,1970,Beyond Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",164,0.194,0.594,0.865,0.455,0.21,-18.5,0.29,0.976,92,4,1,3,245,French,nostalgic,reading,sunny_day,"nostalgic,reading,sunny_day,ambient"
MUSIC_00021,Beyond Moment,Imagine Dragons,Ambient,2002,Beyond Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",120,0.317,0.718,0.561,0.769,0.076,-18.4,0.716,0.621,68,4,0,5,319,French,angry,reading,snowy_day,"angry,reading,snowy_day,ambient"
MUSIC_00022,In Moment,Imagine Dragons,Classical,1947,In Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",164,0.083,0.7,0.816,0.163,0.128,-6.0,0.869,0.495,78,0,1,3,165,English,hopeful,meditation,snowy_day,"hopeful,meditation,snowy_day,classical"
MUSIC_00023,In Dream,Imagine Dragons,World,1987,In Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",87,0.528,0.364,0.978,0.955,0.193,-7.6,0.052,0.176,6,9,0,3,244,Japanese,hopeful,sleeping,snowy_day,"hopeful,sleeping,snowy_day,world"
MUSIC_00024,The Night,Billie Eilish,Gospel,1972,The Night - Album,"You're the light in my darkness, the love in my heart, forever we'll be together, never apart",117,0.311,0.814,0.726,0.687,0.839,-8.9,0.267,0.077,27,3,0,7,229,Spanish,romantic,sleeping,rainy_day,"romantic,sleeping,rainy_day,gospel"
MUSIC_00025,The Night,Bad Bunny,K-Pop,2014,The Night - Album,"Through the journey of life, we find our way, in every moment, in every day",78,0.926,0.764,0.612,0.557,0.553,-14.0,0.027,0.672,41,9,1,7,307,English,euphoric,cleaning,stormy_night,"euphoric,cleaning,stormy_night,k-pop"
MUSIC_00026,In Dream,Lana Del Rey,Country,1944,In Dream - Album,"Through the journey of life, we find our way, in every moment, in every day",91,0.588,0.927,0.06,0.756,0.065,-15.9,0.65,0.767,20,3,1,5,357,Spanish,mysterious,showering,foggy_morning,"mysterious,showering,foggy_morning,country"
MUSIC_00027,Through Moment,Maroon 5,R&B,1965,Through Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",69,0.663,0.96,0.418,0.952,0.651,-3.9,0.901,0.41,28,4,0,3,168,Spanish,angry,showering,snowy_day,"angry,showering,snowy_day,r&b"
MUSIC_00028,Beyond Moment,Billie Eilish,Electronic,1993,Beyond Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",98,0.284,0.681,0.463,0.383,0.74,-10.5,0.019,0.961,26,2,0,5,153,Japanese,calm,relaxing,sunny_day,"calm,relaxing,sunny_day,electronic"
MUSIC_00029,Beyond Moment,Drake,Electronic,2004,Beyond Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",167,0.652,0.015,0.067,0.582,0.105,-6.0,0.676,0.271,98,4,1,4,283,Korean,intense,meditation,sunny_day,"intense,meditation,sunny_day,electronic"
MUSIC_00030,In Moment,Bad Bunny,Classical,1944,In Moment - Album,"Through the journey of life, we find our way, in every moment, in every day",159,0.809,0.896,0.597,0.198,0.089,-7.0,0.268,0.39,40,4,0,7,279,French,hopeful,study,foggy_morning,"hopeful,study,foggy_morning,classical"
MUSIC_00031,In Night,Taylor Swift,Soul,2011,In Night - Album,"Through the journey of life, we find our way, in every moment, in every day",65,0.456,0.531,0.019,0.161,0.263,-12.2,0.885,0.533,48,9,1,7,162,French,playful,cooking,sunny_day,"playful,cooking,sunny_day,soul"
