show_id,title,type,genre,release_year,end_year,episodes,seasons,duration,rating,votes,description,director,cast,network,country,language,certificate,status,imdb_id,poster_url,mood,viewing_condition,keywords
TV_00001,The Expanse,TV Series,Sci-Fi,1960,,94,5,44,3.9,722648,A thoughtful sci-fi tv series perfect for focused_watching. This thoughtful series explores themes of discovery.,Director Smith,Courteney Cox and Lisa Kudrow,HBO,India,French,TV-PG,Ongoing,tt5124017,https://example.com/posters/tv_1.jpg,thoughtful,focused_watching,"thoughtful,focused_watching,sci-fi"
TV_00002,Beyond Tales,TV Mini Series,Mystery,1949,,71,5,59,3.9,70627,A romantic mystery tv mini series perfect for binge_watching. This romantic series explores themes of mystery.,Director Smith,Courteney Cox and Lisa Kudrow,ABC,Brazil,Korean,TV-PG,Released,tt8626724,https://example.com/posters/tv_2.jpg,romantic,binge_watching,"romantic,binge_watching,mystery"
TV_00003,A Chronicles,TV Special,Action,1987,,34,1,51,8.0,734465,A exciting action tv special perfect for focused_watching. This exciting series explores themes of redemption.,Director Smith,Matthew Perry and Lisa Kudrow,Netflix,Spain,Japanese,TV-MA,Released,tt5744735,https://example.com/posters/tv_3.jpg,exciting,focused_watching,"exciting,focused_watching,action"
TV_00004,Black Expanse,TV Movie,Sci-Fi,2014,2020.0,54,15,40,5.7,639013,A dark sci-fi tv movie perfect for weekend_marathon. This dark series explores themes of adventure.,Director Williams,Courteney Cox and David Schwimmer,Amazon Prime,Norway,English,TV-PG,Ended,tt1487378,https://example.com/posters/tv_4.jpg,dark,weekend_marathon,"dark,weekend_marathon,sci-fi"
TV_00005,The Show,Documentary Series,Mystery,2007,2013.0,100,11,51,3.5,502340,A exciting mystery documentary series perfect for family_time. This exciting series explores themes of redemption.,Director Davis,Jennifer Aniston and David Schwimmer,BBC,Spain,French,TV-MA,Cancelled,tt2850692,https://example.com/posters/tv_5.jpg,exciting,family_time,"exciting,family_time,mystery"
TV_00006,The Show,TV Special,Sport,1996,,38,6,47,4.1,844419,A melancholic sport tv special perfect for date_night. This melancholic series explores themes of love.,Director Brown,Jennifer Aniston and David Schwimmer,Peacock,Italy,Korean,TV-G,Ongoing,tt6462568,https://example.com/posters/tv_6.jpg,melancholic,date_night,"melancholic,date_night,sport"
TV_00007,The Show,TV Movie,Animation,1969,1975.0,125,3,27,9.5,292919,A inspiring animation tv movie perfect for background_noise. This inspiring series explores themes of love.,Director Brown,Jennifer Aniston and Lisa Kudrow,BBC,Spain,Japanese,TV-PG,Ended,tt4879393,https://example.com/posters/tv_7.jpg,inspiring,background_noise,"inspiring,background_noise,animation"
TV_00008,Beyond Tales,TV Special,Sport,1994,1999.0,22,5,49,4.5,707740,A thoughtful sport tv special perfect for weekend_marathon. This thoughtful series explores themes of adventure.,Director Smith,Jennifer Aniston and Lisa Kudrow,FX,Mexico,French,TV-MA,Released,tt9413606,https://example.com/posters/tv_8.jpg,thoughtful,weekend_marathon,"thoughtful,weekend_marathon,sport"
TV_00009,A Chronicles,TV Special,Romance,2008,2009.0,112,6,26,4.4,822640,A inspiring romance tv special perfect for focused_watching. This inspiring series explores themes of friendship.,Director Davis,Matthew Perry and David Schwimmer,AMC,Australia,English,TV-G,Ended,tt7664055,https://example.com/posters/tv_9.jpg,inspiring,focused_watching,"inspiring,focused_watching,romance"
TV_00010,Beyond Show,TV Movie,Sport,1961,1966.0,19,8,48,4.1,835206,A mysterious sport tv movie perfect for family_time. This mysterious series explores themes of discovery.,Director Davis,Matthew Perry and Matt LeBlanc,Apple TV+,Australia,Korean,TV-MA,Ended,tt6386781,https://example.com/posters/tv_10.jpg,mysterious,family_time,"mysterious,family_time,sport"
